Numero OI;Tipo Plano;Latitude;Longitude;Barramento;Serviço 
968_2025_JQI-01S4_T_2;Vegetação;-5,8979818;-35,2008254;X03672;Poda de BT
968_2025_JQI-01S4_T_2;Vegetação;-5,8977354;-35,2011082;X03671;Poda de BT
3771_2025_PSA-01C3_T_2;Vegetação;-5,9074773;-35,29387;X03567;Poda de BT
3771_2025_PSA-01C3_T_2;Vegetação;-5,907864;-35,293745;X03566;Poda de BT
3771_2025_PSA-01C3_T_2;Vegetação;-5,9093817;-35,293175;X03562;Poda de BT
3771_2025_PSA-01C3_T_2;Vegetação;-5,9274555;-35,2882918;X03549;Poda de BT
3771_2025_PSA-01C3_T_2;Vegetação;-5,9269913;-35,2869512;X03544;Poda de BT
3771_2025_PSA-01C3_T_2;Vegetação;-5,9295084;-35,2867503;X03526;Poda de BT
635_2024_PNA-01P5_T_5;Redes;-5,8951395;-35,2625739;X03406;Trocar Isolador
635_2024_PNA-01P5_T_5;Redes;-5,8948726;-35,2627657;X03403;Trocar Isolador
3751_2025_PNA-01P2_RL_3103471_T_1;Vegetação;-5,8837917;-35,2344515;X02792;Poda de BT
3771_2025_PSA-01C3_T_2;Vegetação;-5,928295;-35,2887055;X01885;Poda de BT
2928_2025_LTS-01Y4_RL_3109098_T_1;Vegetação;-5,9508679;-35,1622569;X01693;Poda de BT
3751_2025_PNA-01P2_RL_3103471_T_1;Vegetação;-5,8828427;-35,2321126;X01517;Poda de BT
3761_2025_PNA-01P3_RL_3099868_T_2;Vegetação;-5,9349432;-35,2388877;V03504;Poda de MT
1316_2024_SJM-01Z1_T_2;Vegetação;-6,0600125;-35,2428376;U93693;Poda de MT
1900_2024_LTS-01Y2_RL_3027491_T_1;Vegetação;-6,0715213;-35,1094407;U86496;Poda de MT
1900_2024_LTS-01Y2_RL_3027491_T_1;Vegetação;-6,066302;-35,1079625;U80484;Poda de MT
1900_2024_LTS-01Y2_RL_3027491_T_1;Vegetação;-6,0743557;-35,1112932;U77489;Poda de MT
1900_2024_LTS-01Y2_RL_3027491_T_1;Vegetação;-6,0660176;-35,1080038;U77315;Poda de MT
1900_2024_LTS-01Y2_RL_3027491_T_1;Vegetação;-6,0658128;-35,108075;U77306;Poda de MT
1900_2024_LTS-01Y2_RL_3027491_T_1;Vegetação;-6,0690562;-35,1079224;U77295;Poda de MT
1317_2024_SJM-01Z5_T_1;Vegetação;-6,0668137;-35,330383;U77234;Poda de MT
1900_2024_LTS-01Y2_RL_3027491_T_1;Vegetação;-6,0646588;-35,1070794;U77187;Poda de MT
1900_2024_LTS-01Y2_RL_3027491_T_1;Vegetação;-6,0645119;-35,1063772;U77185;Poda de MT
1900_2024_LTS-01Y2_RL_3027491_T_1;Vegetação;-6,0641774;-35,104878;U77184;Poda de MT
1900_2024_LTS-01Y2_RL_3027491_T_1;Vegetação;-6,0644329;-35,1060066;U77149;Poda de MT
1900_2024_LTS-01Y2_RL_3027491_T_1;Vegetação;-6,0703429;-35,1085218;U72672;Poda de MT
3761_2025_PNA-01P3_RL_3099868_T_2;Vegetação;-5,9379764;-35,2397922;U72591;Poda de MT
1792_2024_LTS-01Y4_RL_3111461_T_1;Vegetação;-5,9668439;-35,1411662;U67312;Poda de MT
1792_2024_LTS-01Y4_RL_3111461_T_1;Vegetação;-5,9660662;-35,1427424;U67308;Poda de MT
1792_2024_LTS-01Y4_RL_3111461_T_1;Vegetação;-5,9662916;-35,1422534;U67307A;Poda de MT
1316_2024_SJM-01Z1_T_2;Vegetação;-6,0647096;-35,2438725;U67222;Poda de MT
1670_2024_LTS-01Y2_RL_3106368_T_1;Vegetação;-6,0252193;-35,1109826;U65334;Poda de MT
2928_2025_LTS-01Y4_RL_3109098_T_1;Vegetação;-5,9368341;-35,1689195;U64767;Poda de MT
2928_2025_LTS-01Y4_RL_3109098_T_1;Vegetação;-5,952856;-35,1549716;U64743;Poda de MT
2928_2025_LTS-01Y4_RL_3109098_T_1;Vegetação;-5,953162;-35,1547501;U63084;Poda de MT
1899_2024_LTS-01Y4_T_1;Vegetação;-5,9776732;-35,1254246;U56408;Poda de MT
1899_2024_LTS-01Y4_T_1;Vegetação;-5,9840869;-35,1266853;U56398;Poda de MT
1686_2024_PNA-01P4_T_4;Vegetação;-5,8904496;-35,2309805;U56249;Poda de MT
1171_2024_MCB-01M1_T_1;Vegetação;-5,8613631;-35,3315863;U51650;Poda de MT
1591_2024_JPC-01J3_T_1;Vegetação;-5,9361249;-35,2712727;U47827;Poda de MT
1591_2024_JPC-01J3_T_1;Vegetação;-5,9365569;-35,2712615;U47825;Poda de MT
1591_2024_JPC-01J3_T_1;Vegetação;-5,937963;-35,2713567;U47820A;Poda de MT
1591_2024_JPC-01J3_T_1;Vegetação;-5,9401096;-35,2712828;U47814;Poda de MT
1591_2024_JPC-01J3_T_1;Vegetação;-5,9409535;-35,2712503;U47812;Poda de MT
1591_2024_JPC-01J3_T_1;Vegetação;-5,9413353;-35,2712406;U47811;Poda de MT
668_2025_MCB-01M2_RL_3102390_T_1;Vegetação;-5,8676412;-35,3697394;U44543;Poda de MT
668_2025_MCB-01M2_RL_3102390_T_1;Vegetação;-5,8677481;-35,3704769;U44542;Poda de MT
3030_2025_JPC-01J1_RU_1;Vegetação;-5,9394749;-35,2615459;U43990;Poda de BT
3771_2025_PSA-01C3_T_2;Vegetação;-5,9241977;-35,2914754;U33840;Poda de MT
3771_2025_PSA-01C3_T_2;Vegetação;-5,9244865;-35,29129;U33839;Poda de MT
3771_2025_PSA-01C3_T_2;Vegetação;-5,924774;-35,2911004;U33838;Poda de MT
3771_2025_PSA-01C3_T_2;Vegetação;-5,9289093;-35,2884503;U33829;Poda de MT
3751_2025_PNA-01P2_RL_3103471_T_1;Vegetação;-5,8817159;-35,2327197;U33765;Poda de MT
1686_2024_PNA-01P4_T_4;Vegetação;-5,8983492;-35,2306993;U31101;Poda de MT
1802_2024_JPC-01J2_T_1;Vegetação;-5,9430771;-35,2720911;U30125;Poda de MT
1802_2024_JPC-01J2_T_1;Vegetação;-5,9430904;-35,2737436;U30120;Poda de MT
1802_2024_JPC-01J2_T_1;Vegetação;-5,9369145;-35,28056;U30075;Poda de BT
3761_2025_PNA-01P3_RL_3099868_T_2;Vegetação;-5,9327328;-35,241735;U27072;Poda de MT
3761_2025_PNA-01P3_RL_3099868_T_2;Vegetação;-5,9326101;-35,2421003;U27071;Poda de MT
3760_2025_PNA-01P3_RL_3099868_T_1;Vegetação;-5,9301069;-35,2463099;U27054;Poda de MT
1498_2024_SJM-01Z1_RL_213303X_RR_1;Vegetação;-6,0556742;-35,1840403;U25282;Poda de BT
3771_2025_PSA-01C3_T_2;Vegetação;-5,9112969;-35,2930402;U22368;Poda de MT
3762_2025_PNA-01P8_SM_3021950_T_1;Vegetação;-5,8698012;-35,3240604;T98644;Poda de MT
1510_2024_SJM-01Z1_RL_3089195_T_1;Vegetação;-5,9924238;-35,2510792;T98010;Poda de MT
1315_2024_SJM-01Z1_T_1;Vegetação;-6,0548316;-35,2457712;T97094;Poda de MT
1315_2024_SJM-01Z1_T_1;Vegetação;-6,0562636;-35,2481773;T97085;Poda de MT
1315_2024_SJM-01Z1_T_1;Vegetação;-6,0570294;-35,250085;T97078;Poda de MT
1315_2024_SJM-01Z1_T_1;Vegetação;-6,0552038;-35,2529894;T97064;Poda de MT
1315_2024_SJM-01Z1_T_1;Vegetação;-6,0559776;-35,2530113;T97062;Poda de MT
1315_2024_SJM-01Z1_T_1;Vegetação;-6,0624555;-35,2529265;T97041;Poda de MT
1315_2024_SJM-01Z1_T_1;Vegetação;-6,0637695;-35,2519264;T97036;Poda de MT
1315_2024_SJM-01Z1_T_1;Vegetação;-6,0646713;-35,2513142;T97033;Poda de MT
1315_2024_SJM-01Z1_T_1;Vegetação;-6,0677941;-35,2530587;T97020;Poda de MT
2928_2025_LTS-01Y4_RL_3109098_T_1;Vegetação;-5,9512241;-35,1595933;T90983;Poda de MT
1686_2024_PNA-01P4_T_4;Vegetação;-5,8897317;-35,2307759;T89540;Poda de MT
2928_2025_LTS-01Y4_RL_3109098_T_1;Vegetação;-5,9573651;-35,1654863;T77369;Poda de BT
1670_2024_LTS-01Y2_RL_3106368_T_1;Vegetação;-6,0250892;-35,1112407;T69984;Poda de MT
668_2025_MCB-01M2_RL_3102390_T_1;Vegetação;-5,8669395;-35,3731989;T69865;Poda de MT
1687_2024_PNA-01P2_T_1;Vegetação;-5,8829841;-35,2412119;T68443;Poda de BT
3281_2025_LTS-01Y3_RL_3076960_T_1;Vegetação;-5,9798971;-35,1554818;T63098;Poda de MT
1687_2024_PNA-01P2_T_1;Vegetação;-5,8745051;-35,2558842;T51066;Poda de MT
1687_2024_PNA-01P2_T_1;Vegetação;-5,87501;-35,2558538;T51065;Poda de MT
1687_2024_PNA-01P2_T_1;Vegetação;-5,8811321;-35,2548491;T51051;Poda de MT
1498_2024_SJM-01Z1_RL_213303X_RR_1;Vegetação;-6,0451264;-35,184368;T47114;Poda de BT
3153_2025_LTS-01Y3_RL_3109083_RR_1;Vegetação;-5,9413269;-35,1914856;T45407;Poda de MT
687_2025_MCB-01M1_RL_3098629_T_1;Vegetação;-5,8555028;-35,3041584;T44797;Poda de MT
3751_2025_PNA-01P2_RL_3103471_T_1;Vegetação;-5,8799816;-35,2299817;T43195;Poda de MT
1576_2024_LTS-01Y1_RL_3078813_T_1;Vegetação;-5,9678116;-35,1388648;T38921;Poda de MT
3771_2025_PSA-01C3_T_2;Vegetação;-5,9216246;-35,294594;T38409;Poda de MT
2928_2025_LTS-01Y4_RL_3109098_T_1;Vegetação;-5,9551929;-35,1562718;T38384;Poda de BT
2928_2025_LTS-01Y4_RL_3109098_T_1;Vegetação;-5,9548956;-35,1560506;T38383;Poda de BT
679_2025_MCB-01M1_RL_2089667_T_1;Vegetação;-5,8481408;-35,3091855;T36924;Poda de BT
1317_2024_SJM-01Z5_T_1;Vegetação;-6,0639793;-35,3329574;T36021;Poda de MT
1670_2024_LTS-01Y2_RL_3106368_T_1;Vegetação;-6,0182204;-35,1093954;T31690;Poda de MT
687_2025_MCB-01M1_RL_3098629_T_1;Vegetação;-5,853094;-35,3088036;T24852;Poda de BT
687_2025_MCB-01M1_RL_3098629_T_1;Vegetação;-5,8534151;-35,3086756;T24851;Poda de BT
3151_2025_LTS-01Y3_RL_3107763_RR_1;Vegetação;-5,9675418;-35,1720146;T19697;Poda de MT
3761_2025_PNA-01P3_RL_3099868_T_2;Vegetação;-5,9421613;-35,2411752;T18901;Poda de MT
3761_2025_PNA-01P3_RL_3099868_T_2;Vegetação;-5,9413348;-35,2394598;T18890;Poda de MT
3771_2025_PSA-01C3_T_2;Vegetação;-5,9065369;-35,2963918;T12092;Poda de BT
1576_2024_LTS-01Y1_RL_3078813_T_1;Vegetação;-5,9682142;-35,1377488;T02277;Poda de MT
3762_2025_PNA-01P8_SM_3021950_T_1;Vegetação;-5,8697077;-35,3243313;SPG45;Poda de MT
1803_2024_JPC-01J2_T_2;Vegetação;-5,9374508;-35,3160604;R97948;Poda de MT
1471_2024_SJM-01Z2_T_1;Vegetação;-6,06864;-35,2382475;R96545;Poda de MT
3281_2025_LTS-01Y3_RL_3076960_T_1;Vegetação;-5,9783248;-35,1570262;R95021;Poda de MT
3771_2025_PSA-01C3_T_2;Vegetação;-5,9062747;-35,2967555;R94214;Poda de BT
679_2025_MCB-01M1_RL_2089667_T_1;Vegetação;-5,8474747;-35,3025086;R88499;Poda de BT
679_2025_MCB-01M1_RL_2089667_T_1;Vegetação;-5,8476728;-35,3029996;R88498;Poda de BT
1687_2024_PNA-01P2_T_1;Vegetação;-5,8811477;-35,2540488;R88459;Poda de BT
1517_2024_SJM-01Z1_RL_3106349_T_4;Vegetação;-6,0009558;-35,2626955;R87062;Poda de MT
3751_2025_PNA-01P2_RL_3103471_T_1;Vegetação;-5,8808942;-35,2281178;R85549;Poda de MT
3771_2025_PSA-01C3_T_2;Vegetação;-5,9226225;-35,288556;R83095;Poda de MT
3762_2025_PNA-01P8_SM_3021950_T_1;Vegetação;-5,8710779;-35,3124922;R81811;Poda de MT
1591_2024_JPC-01J3_T_1;Vegetação;-5,9309115;-35,2711554;R81069;Poda de MT
3762_2025_PNA-01P8_SM_3021950_T_1;Vegetação;-5,8702747;-35,3226893;R74462;Poda de MT
3762_2025_PNA-01P8_SM_3021950_T_1;Vegetação;-5,8710378;-35,3208559;R74460;Poda de MT
3761_2025_PNA-01P3_RL_3099868_T_2;Vegetação;-5,9346808;-35,2430173;R74259;Poda de MT
1687_2024_PNA-01P2_T_1;Vegetação;-5,8888103;-35,24951;R73542;Poda de BT
3281_2025_LTS-01Y3_RL_3076960_T_1;Vegetação;-5,9581474;-35,1662122;R72640;Poda de MT
172_2024_SJM-01Z5_T_2;Redes;-6,0604271;-35,3406263;R68564;Trocar Isolador
668_2025_MCB-01M2_RL_3102390_T_1;Vegetação;-5,8471158;-35,4086507;R67261;Poda de MT
1510_2024_SJM-01Z1_RL_3089195_T_1;Vegetação;-5,9896304;-35,2500966;R66827;Poda de MT
1320_2024_SJM-01Z5_T_4;Vegetação;-6,0712995;-35,3310152;R65643;Poda de MT
679_2025_MCB-01M1_RL_2089667_T_1;Vegetação;-5,8510966;-35,304041;R57906;Poda de BT
3751_2025_PNA-01P2_RL_3103471_T_1;Vegetação;-5,8804667;-35,2290203;R55032;Poda de MT
1577_2024_LTS-01Y1_RL_3115559_T_1;Vegetação;-5,9667;-35,1332499;R50052;Poda de MT
3771_2025_PSA-01C3_T_2;Vegetação;-5,9071963;-35,2940089;R48088;Poda de BT
687_2025_MCB-01M1_RL_3098629_T_1;Vegetação;-5,8539859;-35,3077861;R47897;Poda de BT
687_2025_MCB-01M1_RL_3098629_T_1;Vegetação;-5,8549444;-35,3073748;R47894;Poda de MT
1509_2024_SJM-01Z6_RL_2125652_RR_1;Vegetação;-6,0301317;-35,2916557;R47812;Poda de MT
1509_2024_SJM-01Z6_RL_2125652_RR_1;Vegetação;-6,0293092;-35,2912968;R47811;Poda de MT
1805_2024_JPC-01J2_T_4;Vegetação;-5,9482192;-35,2819584;R46256;Poda de BT
3751_2025_PNA-01P2_RL_3103471_T_1;Vegetação;-5,8792359;-35,2327375;R38292;Poda de MT
3751_2025_PNA-01P2_RL_3103471_T_1;Vegetação;-5,8796369;-35,2308492;R38287;Poda de MT
687_2025_MCB-01M1_RL_3098629_T_1;Vegetação;-5,8569662;-35,3064597;R37634;Poda de MT
687_2025_MCB-01M1_RL_3098629_T_1;Vegetação;-5,8550933;-35,3072747;R37632;Poda de MT
687_2025_MCB-01M1_RL_3098629_T_1;Vegetação;-5,8618181;-35,3010106;R36463;Poda de MT
687_2025_MCB-01M1_RL_3098629_T_1;Vegetação;-5,8600549;-35,3017801;R36458;Poda de BT
687_2025_MCB-01M1_RL_3098629_T_1;Vegetação;-5,8599121;-35,3013972;R36456;Poda de MT
3751_2025_PNA-01P2_RL_3103471_T_1;Vegetação;-5,8790596;-35,2353589;R18614;Poda de BT
679_2025_MCB-01M1_RL_2089667_T_1;Vegetação;-5,8496715;-35,3036497;R15454;Poda de BT
679_2025_MCB-01M1_RL_2089667_T_1;Vegetação;-5,8498179;-35,3039941;R15445;Poda de BT
679_2025_MCB-01M1_RL_2089667_T_1;Vegetação;-5,8482018;-35,3043302;R15436;Poda de MT
668_2025_MCB-01M2_RL_3102390_T_1;Vegetação;-5,8397179;-35,4079837;R09912;Poda de MT
1687_2024_PNA-01P2_T_1;Vegetação;-5,8877876;-35,2494788;R06270;Poda de BT
3771_2025_PSA-01C3_T_2;Vegetação;-5,9107091;-35,2893727;R04922;Poda de MT
1687_2024_PNA-01P2_T_1;Vegetação;-5,8751353;-35,2550522;PY11894;Poda de BT
1687_2024_PNA-01P2_T_1;Vegetação;-5,8752704;-35,2548154;PY11893;Poda de BT
134_2025_VCR-01V1_RR_1;Redes;-6,0030624;-35,429843;P35889;Trocar Isolador
196_2024_VCR-01V1_T_1;Redes;-5,9958375;-35,4279523;P35872;Trocar Isolador
134_2025_VCR-01V1_RR_1;Redes;-6,0307242;-35,423285;P35736;Trocar Isolador
199_2024_VCR-01V1_T_4;Redes;-6,0386765;-35,4253528;P35721;Trocar Isolador
276_2024_VCR-01V3_T_1;Redes;-6,0964874;-35,412628;P35543;Trocar Isolador
1521_2024_SJM-01Z2_RL_3093620_T_3;Vegetação;-6,0874839;-35,2065119;P30391;Poda de MT
1521_2024_SJM-01Z2_RL_3093620_T_3;Vegetação;-6,0877811;-35,2066427;P30390;Poda de MT
1603_2025_VCR-01V3_RL_3074687_T_1;Redes;-6,061045;-35,375945;P29244;Trocar Isolador
